url,title,overview,tools,investigation_steps
https://example.com/resolve-sales-agent-fees-validation-errors,Sales Agent Onboarding Process: Fee Validation Error Prevention and Resolution,This documentation outlines the procedures for investigating and resolving fee validation errors that occur during the sales agent onboarding process.,"[""Service Now"", ""Splunk""]","[""Verify that the minimum and maximum rate values entered by the sales agent are within the acceptable range (0-100). Check if the form validation rules in Service Now are correctly configured to enforce this constraint. Review the onboarding process flow charts to ensure that the correct validation checks are being performed at each step. If necessary, update the form fields to include additional validation cues or error messages to help guide the sales agent through the process.""]"
https://example.com/ONboarding-Merchant-Validation-Error-Solved,Merchant Onboarding Validation Field Format Troubleshooting,"This documentation outlines the steps to troubleshoot and resolve errors when onboardng merchants in Service Now, specifically when encountering invalid values for the min_rate and max_rate fields.","['Service Now UI', 'Splunk (for error logs)', 'Jira (for incident tracking)']",
https://itdocs.example.com/merchant-agreement-pdf-generation-issue-resolution,Onboarding Equipment Selection Issue Troubleshooting Guide,"This document outlines a step-by-step guide for troubleshooting the Merchant Agreement PDF generation issue, focusing on equipment selection problems.","['Splunk', 'Jira', 'ServiceNow Console']","[{'step_number': 1, 'description': 'Log in to ServiceNow Console and navigate to the Onboarding Workflow screen.', 'investigation': False, 'resolution': ''}, {'step_number': 2, 'description': 'Verify that all payment service equipments are functioning correctly by checking the Equipment Types dropdown menu.', 'investigation': True, 'resolution': '', 'error_message': None}, {'step_number': 3, 'description': 'Check for any recent configuration changes or software updates that may be affecting equipment selection.', 'investigation': True, 'resolution': ''}, {'step_number': 4, 'description': 'Use Splunk to analyze system logs and identify potential issues with the payment service equipments.', 'investigation': False, 'resolution': '', 'error_code': None}, {'step_number': 5, 'description': 'Search Jira for any related incidents or known issues that may be causing equipment selection problems.', 'investigation': True, 'resolution': ''}, {'step_number': 6, 'description': 'Reach out to the ServiceNow Support Team for assistance with troubleshooting and resolving the issue.', 'investigation': False, 'resolution': ''}]"
https://example.com/ONBOARDING-ADDRESS-FIELD- PopULATION- ISSUES-RESOLUTION-GUIDE,Onboarding Process: Address Field Population Best Practices and Troubleshooting,"This guide provides step-by-step instructions on troubleshooting address field population issues during the onboarding process in Service Now, as well as best practices for ensuring accurate and complete data entry.","['Splunk', 'Service Now']","[{'step_number': '1', 'description': 'Verify that the Sales Agent has completed the address field on the merchant form', 'investigation_question': ""Is the 'Address' field populated with correct information?""}, {'step_number': '2', 'description': 'Check if the address field is required for completion of the onboarding process', 'investigation_question': 'Does the Sales Agent have access to the form configuration options?'}, {'step_number': '3', 'description': ""Verify that the 'Address' field validation rules are correctly configured"", 'investigation_question': 'Are there any error messages or warnings related to address field population?'}, {'step_number': '4', 'description': 'Check if the Sales Agent has entered a valid email address associated with the merchant', 'investigation_question': ""Is the 'Address' field required for verification purposes?""}]"
https://example.com/sales-agent-merchant-agreement-upload-issue-resolution,Onboarding Merchant Agreement Upload Error Resolution Guide,This documentation provides step-by-step instructions for investigating and resolving errors related to uploading merchant agreements in Service Now.,"['Splunk', 'Jira', 'Service Now API Documentation']","[{'step_number': 1, 'description': ""Verify that the signed agreement document is in the correct format and meets Service Now's file type requirements.""}, {'step_number': 2, 'description': ""Check the agreement's metadata for any validation errors or warnings, which may indicate missing required fields.""}, {'step_number': 3, 'description': 'Use the Service Now API documentation to confirm the expected field structure for uploading merchant agreements.'}, {'step_number': 4, 'description': 'Investigate any recent changes to the agreement upload process or Service Now configuration that may be causing the issue.'}, {'step_number': 5, 'description': 'Consult with other support teams or subject matter experts to determine if similar issues have occurred in the past and what resolutions were applied.'}]"
https://example.com/sales-agent-login-guide-12345,Sales Agent Application Access: Troubleshooting Guide for Merchant Onboarding Team,This documentation provides a step-by-step guide for troubleshooting sales agent login issues in the merchant onboarding application.,"['Splunk', 'Service Now Console', 'System Configuration Manager']","[""1. Verify user account status: Check if the sales agent's user account is active and not suspended or locked."", ""2. Review password policies: Confirm that the sales agent's password meets all password policy requirements, including length, complexity, and rotation."", '3. Investigate system logs: Use Splunk to analyze system logs for any error messages related to login attempts.', '4. Check application configuration: Verify that the merchant onboarding application is properly configured in Service Now, including settings for user authentication and access control.', '5. Validate user permissions: Ensure that the sales agent has the necessary permissions to access the application.', '6. Contact IT support: Reach out to IT support for assistance with troubleshooting or resolving the issue.']"
https://example.com/ merchant-agreement-pdf-generation-guide-12345,Generating Merchant Agreements: A Step-by-Step Guide for Sales Agents,"This documentation provides a comprehensive guide on how to generate and sign unsigned merchant agreements in Service Now, including troubleshooting tips for common issues.","['Splunk', 'Service Now Console', 'Jira', 'Browser Developer Tools']","[{'step_number': 1, 'description': 'Verify that the browser cache has been cleared by navigating to browser settings, clearing stored data, and reloading the page.', 'investigation_tools': ['Browser Settings', 'Reload Page']}, {'step_number': 2, 'description': 'Check for any recent updates or patches applied to Service Now or browser extensions, and ensure they are compatible with the current version.', 'investigation_tools': ['Service Now Console', 'Browser Extension Manager']}, {'step_number': 3, 'description': 'Inspect the browser console for any error messages or exceptions related to the PDF generation process, using Browser Developer Tools.', 'investigation_tools': ['Browser Developer Tools']}, {'step_number': 4, 'description': 'Review the Service Now documentation and knowledge base articles for merchant agreement PDF generation, ensuring that all steps are followed correctly.', 'investigation_tools': ['Service Now Console', 'Knowledge Base Articles']}, {'step_number': 5, 'description': 'Reach out to IT support or Service Now administrators for assistance with troubleshooting and resolving issues related to merchant agreement PDF generation.', 'investigation_tools': ['IT Support', 'Service Now Administrators']}]"
https://examplecom/Documentation/SalesAgentOnboardingFormValidationErrors,Form Validation Error Handling for Sales Agent Onboarding Process,This document outlines a step-by-step guide on how to troubleshoot and resolve form validation errors when trying to onboard new merchants via the sales agent interface.,"['Splunk', 'ServiceNow', 'Jira']","[{'step_id': 1, 'description': 'Verify minimum rate field value against known allowed values', 'action': 'Check ServiceNow documentation for minimum rate field validation rules'}, {'step_id': 2, 'description': 'Review Sales Agent user guide for onboarding process best practices', 'action': 'Consult with Sales Agent team to ensure correct usage of form fields'}, {'step_id': 3, 'description': 'Log in as Sales Agent and attempt to onboard new merchant with invalid input', 'action': 'Test the form with an intentionally incorrect value to reproduce the error'}, {'step_id': 4, 'description': 'Check ServiceNow logs for any errors or warnings related to form validation', 'action': 'Review ServiceNow log files using Splunk to identify potential issues'}]"
https://example.com/sales-fee-rate-validity-check,Validating Sales Fee Rate Ranges for Efficient Onboarding,This documentation provides a step-by-step guide on how to resolve sales fee rate errors when onboard new merchants.,"['Splunk', 'Jira', 'ServiceNow Configuration Manager']","[{'step_id': 1, 'description': 'Verify ServiceNow Configuration Manager settings for fee rate ranges', 'action': 'Check the ServiceNow Configuration Manager database for any updated or modified fee rate range configurations.', 'expected_outcome': 'Fee rate range configuration found to be correct.', 'result': ''}, {'step_id': 2, 'description': 'Review sales agent documentation and training records', 'action': 'Check sales agent documentation and training records to ensure they are familiar with fee rate range requirements.', 'expected_outcome': 'Sales agent documentation and training records confirm familiarity with fee rate ranges.', 'result': ''}, {'step_id': 3, 'description': 'Test fee rate entry with valid range values', 'action': 'Use the ServiceNow application to test entering a fee rate within a valid range (e.g. 1-2) and verify successful submission.', 'expected_outcome': 'Fee rate entered successfully without error.', 'result': ''}, {'step_id': 4, 'description': 'Check for any recent software updates or patches', 'action': 'Run a Splunk search to check for any recent ServiceNow software updates or patches that may have affected fee rate configuration.', 'expected_outcome': 'No recent software updates or patches found.', 'result': ''}, {'step_id': 5, 'description': 'Consult with the ServiceNow implementation team', 'action': 'Reach out to the ServiceNow implementation team for further assistance and guidance on resolving the issue.', 'expected_outcome': 'Implementation team provides resolution guidance or additional support.', 'result': ''}]"
https://example.com/merchants-terminal-count-validation,POS Terminal Count Validation Best Practices and Troubleshooting Guide,This guide provides step-by-step instructions on how to troubleshoot and resolve Failed Merchant Onboarding issues related to POS terminal count validation in Service Now.,"['Splunk', 'Service Now Configuration Manager', 'Jira']","[{'step_number': 1, 'description': 'Verify the min-max rates for POS terminals are correctly configured in Service Now.', 'next_steps': []}, {'step_number': 2, 'description': ""Check the merchant's current equipment information for any discrepancies or missing data."", 'next_steps': ['Review configuration manager logs for any errors or warnings.']}, {'step_number': 3, 'description': 'Run a report to identify all merchants with invalid POS terminal counts and their corresponding onboarding status.', 'next_steps': ['Prioritize merchants based on onboarding progress and contact them individually for clarification.']}]"
